ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7117383,HR526724,09/08/2009 08:15:00 AM,0000X E 56TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0233,002,20,40,05,1177890,1867919,2009,02/28/2018 03:56:25 PM,41.792888946,-87.623231167,"(41.792888946, -87.623231167)"
7117384,HR526870,09/08/2009 10:30:00 PM,019XX S SPAULDING AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,1024,010,24,29,26,1154672,1890228,2009,02/28/2018 03:56:25 PM,41.854602441,-87.707773644,"(41.854602441, -87.707773644)"
7117385,HR526120,09/06/2009 07:00:00 PM,016XX N SEDGWICK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1814,018,43,7,14,1173338,1911432,2009,02/28/2018 03:56:25 PM,41.912393942,-87.638631869,"(41.912393942, -87.638631869)"
7117388,HR526400,09/08/2009 01:00:00 PM,003XX N JEFFERSON ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1212,012,42,28,06,1172268,1902412,2009,02/28/2018 03:56:25 PM,41.887666267,-87.64282944,"(41.887666267, -87.64282944)"
7117389,HR526642,09/08/2009 02:00:00 PM,024XX E 75TH ST,0460,BATTERY,SIMPLE,ABANDONED BUILDING,false,false,0334,003,7,43,08B,1193587,1855701,2009,02/28/2018 03:56:25 PM,41.758991698,-87.566072806,"(41.758991698, -87.566072806)"
4693396,HM296861,04/17/2006 07:30:00 PM,003XX W 29TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,2113,009,11,34,08B,1174644,1885471,2006,02/28/2018 03:56:25 PM,41.841126202,-87.634610448,"(41.841126202, -87.634610448)"
7117391,HR526850,09/08/2009 09:15:00 PM,001XX W LAKE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,true,false,0113,001,42,32,18,1175334,1901735,2009,02/28/2018 03:56:25 PM,41.885740288,-87.631590568,"(41.885740288, -87.631590568)"
7117392,HR526808,09/08/2009 10:00:00 PM,063XX S HALSTED ST,0460,BATTERY,SIMPLE,OTHER,false,false,0723,007,20,68,08B,1172055,1862918,2009,02/28/2018 03:56:25 PM,41.779295906,-87.644774188,"(41.779295906, -87.644774188)"
7117393,HR526890,09/08/2009 09:00:00 PM,001XX N LEAMINGTON AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,ABANDONED BUILDING,true,false,1532,015,28,25,26,1142014,1900787,2009,02/28/2018 03:56:25 PM,41.883821373,-87.753972789,"(41.883821373, -87.753972789)"
7117394,HR526805,09/08/2009 09:15:00 PM,070XX S ASHLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0735,007,17,67,06,1166897,1858031,2009,02/28/2018 03:56:25 PM,41.765997125,-87.66382344,"(41.765997125, -87.66382344)"
